country,date,tempAvgMonth,temp,precipProb,precipIntens,hasBadPrecip,rate
Palestine,02.04.2018,16.6,25.43,0.09,0.0838,1,
Panama,02.04.2018,26.33,29.28,0.0,0.0,0,
Papua New Guinea,02.04.2018,26.13,24.71,0.0,0.0,0,
Paraguay,02.04.2018,22.73,26.41,0.0,0.0,0,
Peru,02.04.2018,20.27,25.59,0.0,0.0,0,
Philippines,02.04.2018,26.73,5.68,0.0,0.0,0,
Pitcairn,02.04.2018,24.07,15.86,0.0,0.0,0,
Poland,02.04.2018,5.07,28.05,0.0,0.0,0,
Portugal,02.04.2018,13.27,26.1,0.0,0.0,0,
Puerto Rico,02.04.2018,24.0,26.68,0.11,0.1168,1,
Qatar,02.04.2018,26.0,11.99,0.0,0.0,0,
Reunion,02.04.2018,25.47,3.83,0.18,0.1143,1,
Romania,02.04.2018,7.4,18.93,0.24,1.1405,1,
Russia,02.04.2018,-8.67,28.66,0.03,0.0203,1,
Rwanda,02.04.2018,20.07,27.53,0.0,0.0,0,
Saba,02.04.2018,0.0,28.11,0.0,0.0,0,
Saint Barthelemy,02.04.2018,0.0,23.68,0.0,0.0,0,
Saint Eustatius,02.04.2018,0.0,28.34,0.01,0.0051,1,
Saint Helena,02.04.2018,23.27,28.58,0.03,0.0127,1,
Saint Kitts and Nevis,02.04.2018,23.6,8.53,0.0,0.0,0,
Saint Lucia,02.04.2018,24.2,27.59,0.0,0.0,0,
Saint Martin-Dutch,02.04.2018,0.0,1.51,0.0,0.0,0,
Saint Martin-French,02.04.2018,0.0,28.66,0.04,0.0127,1,
Saint Pierre and Miquelon,02.04.2018,0.0,23.89,0.0,0.0,0,
Saint Vincent and the Grenadines,02.04.2018,24.2,16.2,0.0,0.0,0,
Samoa,02.04.2018,27.27,26.27,0.22,0.2667,1,
San Marino,02.04.2018,9.2,27.92,0.0,0.0,0,
Sao Tome and Principe,02.04.2018,27.2,21.79,0.0,0.0,0,
Saudi Arabia,02.04.2018,23.6,12.18,0.0,0.0,0,
Senegal,02.04.2018,28.13,28.29,0.03,0.0102,1,
Serbia,02.04.2018,7.8,28.93,0.0,0.0,0,
Seychelles,02.04.2018,27.2,26.23,0.0,0.0,0,
Sierra Leone,02.04.2018,27.0,10.43,0.0,0.0,0,
Singapore,02.04.2018,27.27,11.41,0.0,0.0,0,
Slovakia,02.04.2018,5.67,25.13,0.28,0.32,1,
Slovenia,02.04.2018,6.73,28.14,0.0,0.0,0,
Solomon Islands,02.04.2018,27.4,23.23,0.07,0.2083,1,
Somalia,02.04.2018,26.87,20.49,0.07,0.1676,1,
Somaliland,02.04.2018,0.0,2.9,0.02,0.0457,1,
South Africa,02.04.2018,17.93,29.13,0.0,0.0,0,
South Georgia and the South Sandwich Islands,02.04.2018,0.0,26.56,0.2,0.5283,1,
South Korea,02.04.2018,9.0,17.56,0.04,0.0991,1,
South Sudan,02.04.2018,0.0,25.77,0.19,0.3937,1,
Spain,02.04.2018,12.4,32.84,0.0,0.0,0,
Sri Lanka,02.04.2018,28.13,25.04,0.39,0.8077,1,
Sudan,02.04.2018,26.6,-12.8,0.0,0.0,0,
Suriname,02.04.2018,26.73,22.5,0.03,0.0483,1,
Svalbard and Jan Mayen,02.04.2018,-14.6,1.7,0.0,0.0,0,
Swaziland,02.04.2018,18.13,9.91,0.0,0.0,0,
Sweden,02.04.2018,-1.13,18.37,0.0,0.0,0,
Switzerland,02.04.2018,5.0,20.23,0.11,0.0635,1,
Syria,02.04.2018,14.53,23.19,0.0,0.0,0,
Tahiti,02.04.2018,0.0,16.81,0.33,1.0236,1,
Taiwan,02.04.2018,22.07,23.05,0.0,0.0,0,
Tajikistan,02.04.2018,1.53,24.47,0.01,0.0076,1,
Tanzania,02.04.2018,21.8,26.54,0.0,0.0,0,
Thailand,02.04.2018,27.8,28.5,0.07,0.0559,1,
Timor-Leste,02.04.2018,27.6,27.87,0.14,0.1448,1,
Togo,02.04.2018,28.0,24.67,0.45,0.5207,1,
Tokelau,02.04.2018,27.47,30.26,0.0,0.0,0,
Tonga,02.04.2018,25.73,25.88,0.0,0.0,0,
Trinidad and Tobago,02.04.2018,25.33,7.34,0.0,0.0,0,
Tunisia,02.04.2018,16.33,12.89,0.0,0.0,0,
Turkey,02.04.2018,9.6,26.86,0.05,0.066,1,
Turkmenistan,02.04.2018,13.73,28.56,0.0,0.0,0,
Turks and Caicos Islands,02.04.2018,23.53,21.64,0.0,0.0,0,
Tuvalu,02.04.2018,27.13,3.01,0.07,0.0254,1,
Uganda,02.04.2018,22.2,26.38,0.0,0.0,0,
Ukraine,02.04.2018,6.47,10.81,0.0,0.0,0,
United Arab Emirates,02.04.2018,27.73,7.26,0.0,0.0,0,
United Kingdom,02.04.2018,6.47,21.92,0.06,0.0457,1,
United States,02.04.2018,4.27,12.99,0.0,0.0,0,
Uruguay,02.04.2018,19.0,24.94,0.11,0.033,1,
Uzbekistan,02.04.2018,10.4,13.04,0.0,0.0,0,
Vanuatu,02.04.2018,26.6,24.56,0.26,0.6045,1,
Vatican City,02.04.2018,0.0,22.71,0.0,0.0,0,
Venezuela,02.04.2018,26.0,26.91,0.0,0.0,0,
Vietnam,02.04.2018,25.4,27.56,0.0,0.0,0,
Virgin Islands-British,02.04.2018,23.8,27.97,0.27,0.4724,1,
Virgin Islands-US,02.04.2018,23.8,18.29,0.01,0.0305,1,
Wallis and Futuna,02.04.2018,27.27,21.86,0.0,0.0,0,
Yemen,02.04.2018,25.67,21.19,0.01,0.0457,1,
